 &SRS
 SRSRUN=31407,SRSDAT=20141216,SRSTIM=92436,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_x	i_pin
3.4564	-0.00072540
3.4583	-0.00079685
3.4604	-0.00079379
3.4624	-0.00078830
3.4645	-0.00069121
3.4664	-0.00070525
3.4684	-0.00062038
3.4704	-0.00065519
3.4723	-0.00051780
3.4744	-0.00051353
3.4764	-0.00041828
3.4785	-0.00030715
3.4804	-0.00024303
3.4824	-0.00013802
3.4844	-0.00014046
3.4864	-2.3294e-08
3.4884	0.00021123
3.4904	0.00026618
3.4924	0.00046033
3.4944	0.00066853
3.4964	0.00083887
3.4984	0.0010147
3.5004	0.0012424
3.5024	0.0015959
3.5044	0.0018389
3.5065	0.0020734
3.5084	0.0024141
3.5104	0.0029812
3.5124	0.0033256
3.5144	0.0038678
3.5164	0.0042823
3.5184	0.0048409
3.5204	0.0054417
3.5224	0.0056908
3.5244	0.0065010
3.5264	0.0069174
3.5284	0.0075517
3.5304	0.0081781
3.5324	0.0090909
3.5344	0.0089303
3.5364	0.0097613
3.5384	0.010738
3.5404	0.011394
3.5424	0.011986
3.5444	0.012594
3.5464	0.013256
3.5484	0.014030
3.5504	0.014374
3.5524	0.015287
3.5544	0.015439
3.5564	0.016335
3.5584	0.016771
3.5604	0.017350
3.5624	0.018062
3.5644	0.018389
3.5664	0.018734
3.5684	0.019193
3.5704	0.018800
3.5724	0.019595
3.5744	0.019162
3.5764	0.019527
3.5784	0.019469
3.5804	0.019298
3.5824	0.019416
3.5844	0.019025
3.5864	0.018556
3.5884	0.018598
3.5903	0.017996
3.5924	0.016606
3.5944	0.016970
3.5964	0.016706
3.5984	0.016530
3.6004	0.015353
3.6024	0.015085
3.6044	0.014263
3.6064	0.014133
3.6084	0.013149
3.6104	0.012360
3.6124	0.011932
3.6144	0.011037
3.6164	0.010608
3.6184	0.0097564
3.6204	0.0093620
3.6223	0.0088754
3.6244	0.0081727
3.6264	0.0073374
3.6284	0.0070615
3.6304	0.0064161
3.6324	0.0060187
3.6344	0.0053367
3.6364	0.0047707
3.6384	0.0043708
3.6404	0.0038910
3.6424	0.0035747
3.6444	0.0032017
3.6464	0.0027700
3.6484	0.0024220
3.6504	0.0021033
3.6524	0.0018591
3.6544	0.0015355
3.6564	0.0013633
3.6584	0.0011411
3.6604	0.00082483
3.6624	0.00072042
3.6644	0.00054642
3.6664	0.00041576
3.6684	0.00026862
3.6704	0.00015567
3.6724	1.9511e-05
3.6744	-7.8178e-05
3.6764	-0.00015633
3.6784	-0.00028578
3.6804	-0.00036088
3.6824	-0.00042866
3.6844	-0.00053673
3.6863	-0.00052146
3.6884	-0.00059657
3.6904	-0.00061855
3.6924	-0.00065580
3.6944	-0.00068694
3.6964	-0.00077914
