 &SRS
 SRSRUN=31408,SRSDAT=20141216,SRSTIM=92532,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_y	i_pin
50.104	-0.00088905
50.106	-0.00088111
50.108	-0.00078036
50.110	-0.00088294
50.112	-0.00082554
50.114	-0.00077303
50.116	-0.00091530
50.118	-0.00075899
50.120	-0.00082676
50.122	-0.00087195
50.124	-0.00083775
50.126	-0.00081761
50.128	-0.00082921
50.130	-0.00075838
50.132	-0.00074861
50.134	-0.00077914
50.136	-0.00073578
50.138	-0.00068144
50.140	-0.00079379
50.142	-0.00072113
50.144	-0.00070403
50.146	-0.00070098
50.148	-0.00063626
50.150	-0.00066190
50.152	-0.00067167
50.154	-0.00064908
50.156	-0.00064664
50.158	-0.00064664
50.160	-0.00053979
50.162	-0.00058436
50.164	-0.00062404
50.166	-0.00054589
50.168	-0.00051597
50.170	-0.00045430
50.172	-0.00044209
50.174	-0.00045552
50.176	-0.00042072
50.178	-0.00032607
50.180	-0.00027173
50.182	-0.00029127
50.184	-0.00015816
50.186	-7.0850e-05
50.188	-4.5819e-05
50.190	2.9280e-05
50.192	9.0333e-05
50.194	0.00039195
50.196	0.00057023
50.198	0.00084803
50.200	0.0011118
50.202	0.0018896
50.204	0.0027840
50.206	0.0038684
50.208	0.0057622
50.210	0.0075298
50.212	0.010067
50.214	0.012437
50.216	0.014542
50.218	0.017078
50.220	0.018731
50.222	0.019643
50.224	0.018881
50.226	0.016753
50.228	0.015688
50.230	0.013281
50.232	0.010453
50.234	0.0096489
50.236	0.0082313
50.238	0.0069198
50.240	0.0058465
50.242	0.0049600
50.244	0.0040680
50.246	0.0033848
50.248	0.0026461
50.250	0.0019030
50.252	0.0014378
50.254	0.00090908
50.256	0.00077598
50.258	0.00054276
50.260	0.00030647
50.262	0.00014101
50.264	0.00012514
50.266	-3.0748e-06
50.268	-4.2157e-05
50.270	-0.00012825
50.272	-0.00017587
50.274	-0.00023632
50.276	-0.00028700
50.278	-0.00029799
50.280	-0.00033768
50.282	-0.00038530
50.284	-0.00041217
50.286	-0.00042072
50.288	-0.00047140
50.290	-0.00051536
50.292	-0.00053612
50.294	-0.00051780
50.296	-0.00057459
50.298	-0.00058252
50.300	-0.00058680
50.302	-0.00061977
50.304	-0.00060817
50.306	-0.00061427
50.308	-0.00059718
50.310	-0.00076326
50.312	-0.00066374
50.314	-0.00061183
50.316	-0.00065213
50.318	-0.00068450
50.320	-0.00068816
50.322	-0.00071380
50.324	-0.00069793
50.326	-0.00067900
50.328	-0.00071441
50.330	-0.00074128
50.332	-0.00080600
50.334	-0.00072174
50.336	-0.00077364
50.338	-0.00075960
50.340	-0.00074006
50.342	-0.00076754
50.344	-0.00080417
