 &SRS
 SRSRUN=31392,SRSDAT=20141216,SRSTIM=91451,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
DCM_Pitch	qbpm1
-0.27201	0.30041
-0.27127	0.30081
-0.26978	0.30114
-0.26978	0.30114
-0.26791	0.30114
-0.26679	0.31656
-0.26679	0.31656
-0.26493	0.32250
-0.26381	0.32250
-0.26381	0.32250
-0.26194	0.33118
-0.26045	0.36002
-0.26045	0.36002
-0.25896	0.36002
-0.25784	0.36002
-0.25784	0.36002
-0.25597	0.43699
-0.25485	0.43699
-0.25485	0.43699
-0.25299	0.43699
-0.25187	0.43699
-0.25187	0.43699
-0.25000	0.52745
-0.24925	0.52745
-0.24776	0.52745
-0.24776	0.52745
-0.24590	0.60903
-0.24478	0.60903
-0.24478	0.60903
-0.24291	0.60903
-0.24179	0.67104
-0.24179	0.67104
-0.23993	0.67104
-0.23881	0.67104
-0.23881	0.67104
-0.23694	0.67618
-0.23582	0.67618
-0.23582	0.67618
-0.23396	0.67618
-0.23284	0.67618
-0.23284	0.67618
-0.23097	0.61724
-0.22985	0.61724
-0.22985	0.61724
-0.22799	0.61724
-0.22687	0.53132
-0.22687	0.53132
-0.22500	0.53132
-0.22388	0.53132
-0.22276	0.45969
-0.22276	0.45969
-0.22090	0.45969
-0.21978	0.45969
-0.21978	0.45969
-0.21828	0.44133
-0.21716	0.38412
-0.21604	0.38412
-0.21493	0.38412
-0.21381	0.34173
-0.21381	0.34173
-0.21194	0.34173
-0.21082	0.34173
-0.21082	0.34173
-0.20896	0.31877
-0.20821	0.31877
-0.20746	0.31877
-0.20597	0.30201
-0.20485	0.30201
-0.20485	0.30201
-0.20299	0.30201
-0.20224	0.29166
-0.20075	0.29166
-0.20075	0.29166
-0.19888	0.28672
-0.19776	0.28232
-0.19776	0.28232
-0.19590	0.28232
-0.19478	0.28232
-0.19478	0.28232
-0.19291	0.27611
-0.19216	0.27611
-0.19104	0.27611
-0.18993	0.26910
-0.18881	0.26910
-0.18881	0.26910
-0.18694	0.26910
-0.18582	0.26910
-0.18582	0.26910
-0.18396	0.26503
-0.18284	0.26503
-0.18284	0.26503
-0.18097	0.26503
-0.17985	0.26082
-0.17985	0.26082
-0.17799	0.26082
-0.17687	0.26082
-0.17687	0.26082
-0.17500	0.25735
-0.17388	0.25735
-0.17276	0.25735
-0.17276	0.25688
-0.17127	0.25575
-0.17015	0.25575
-0.16903	0.25575
-0.16791	0.25575
-0.16679	0.25408
-0.16679	0.25408
-0.16493	0.25408
-0.16381	0.25408
-0.16381	0.25408
-0.16194	0.25127
-0.16082	0.25127
-0.16082	0.25127
-0.15896	0.25127
-0.15821	0.24934
-0.15709	0.24934
-0.15597	0.24934
-0.15485	0.24920
-0.15485	0.24920
-0.15299	0.24907
-0.15224	0.24907
