 &SRS
 SRSRUN=31394,SRSDAT=20141216,SRSTIM=9163,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
hfm_fine_pitch	i0
0.010219	-0.0011148
0.010219	-0.0011148
0.010618	-0.00088640
0.010618	-0.00088640
0.011010	-0.0010464
0.011010	-0.0010464
0.011410	-0.0010876
0.011410	-0.0010876
0.011818	-0.00090928
0.011818	-0.00090928
0.012205	-0.00092457
0.012205	-0.00092457
0.012615	-0.00077738
0.012615	-0.00077738
0.013012	-0.00095568
0.013012	-0.00095568
0.013407	-0.00089036
0.013407	-0.00089036
0.013810	-0.00086224
0.013810	-0.00086224
0.014210	-0.00086807
0.014210	-0.00086807
0.014609	-0.00092578
0.014609	-0.00092578
0.015012	-0.00063934
0.015012	-0.00063934
0.015390	-0.00050622
0.015390	-0.00050622
0.015798	-0.00020148
0.015798	-0.00020148
0.016200	0.00035303
0.016200	0.00035303
0.016590	0.0013390
0.016590	0.0013390
0.016999	0.0021162
0.016999	0.0021162
0.017384	0.0041608
0.017384	0.0041608
0.017795	0.0061441
0.017795	0.0061441
0.018197	0.0090044
0.018197	0.0090044
0.018604	0.011346
0.018604	0.011346
0.018998	0.013930
0.018998	0.013930
0.019398	0.015796
0.019398	0.015796
0.019790	0.016424
0.019790	0.016424
0.020198	0.015948
0.020198	0.015948
0.020592	0.014228
0.020592	0.014228
0.020997	0.012055
0.020997	0.012055
0.021393	0.0089754
0.021393	0.0089754
0.021791	0.0065286
0.021791	0.0065286
0.022195	0.0040204
0.022195	0.0040204
0.022602	0.0024472
0.022602	0.0024472
0.022992	0.00091947
0.022992	0.00091947
0.023398	0.00029380
0.023398	0.00029380
0.023793	-0.00017676
0.023793	-0.00017676
0.024193	-0.00064147
0.024193	-0.00064147
0.024580	-0.00065798
0.024580	-0.00065798
0.024981	-0.00085553
0.024981	-0.00085553
0.025394	-0.00086867
0.025394	-0.00086867
0.025786	-0.00082381
0.025786	-0.00082381
0.026190	-0.00096546
0.026190	-0.00096546
0.026583	-0.00097310
0.026583	-0.00097310
0.026978	-0.0010128
0.026978	-0.0010128
0.027387	-0.00093616
0.027387	-0.00093616
0.027781	-0.00097953
0.027781	-0.00097953
0.028192	-0.00094379
0.028192	-0.00094379
0.028570	-0.00092455
0.028570	-0.00092455
0.028991	-0.0010100
0.028991	-0.0010100
0.029378	-0.00078257
0.029378	-0.00078257
0.029783	-0.0010858
0.029783	-0.0010858
0.030169	-0.00093188
