 &SRS
 SRSRUN=31395,SRSDAT=20141216,SRSTIM=91812,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_x	i_pin
3.0535	-0.00091591
3.0635	-0.00084081
3.0735	-0.00091530
3.0835	-0.00083592
3.0935	-0.00097942
3.1035	-0.00089027
3.1135	-0.00094645
3.1235	-0.00091652
3.1335	-0.00096110
3.1434	-0.00092141
3.1535	-0.00093851
3.1635	-0.00090737
3.1735	-0.00091347
3.1835	-0.00087378
3.1935	-0.00079379
3.2035	-0.00066801
3.2135	-0.00023449
3.2235	0.00051040
3.2335	0.0017272
3.2435	0.0049087
3.2536	0.0098327
3.2635	0.018066
3.2735	0.032799
3.2835	0.051724
3.2935	0.076949
3.3035	0.12008
3.3135	0.16748
3.3235	0.21884
3.3335	0.27403
3.3435	0.33332
3.3535	0.38729
3.3635	0.43160
3.3735	0.47096
3.3835	0.49618
3.3935	0.51837
3.4035	0.53226
3.4135	0.54159
3.4235	0.54928
3.4335	0.55156
3.4435	0.55511
3.4535	0.55501
3.4635	0.55518
3.4735	0.55411
3.4835	0.55185
3.4935	0.54695
3.5035	0.54055
3.5135	0.52844
3.5235	0.51229
3.5335	0.48610
3.5434	0.45863
3.5535	0.41278
3.5635	0.36507
3.5734	0.30617
3.5835	0.24767
3.5935	0.19203
3.6035	0.14120
3.6135	0.10236
3.6235	0.074011
3.6335	0.044424
3.6435	0.025955
3.6535	0.014878
3.6635	0.0081079
3.6735	0.0035887
3.6835	0.0011197
3.6935	0.00010255
3.7035	-0.00056054
3.7135	-0.00074678
3.7235	-0.00090920
3.7335	-0.00091469
3.7435	-0.00091652
3.7535	-0.00092812
3.7635	-0.00093545
3.7735	-0.00088539
3.7835	-0.00090798
3.7935	-0.00094767
3.8035	-0.00090187
3.8135	-0.00098430
3.8235	-0.00089882
3.8335	-0.0010002
3.8435	-0.00091897
3.8535	-0.0010185
