 &SRS
 SRSRUN=31396,SRSDAT=20141216,SRSTIM=91850,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_y	i_pin
41.829	-0.00083409
41.839	-0.0010582
41.849	-0.00097392
41.859	-0.00089638
41.869	-0.00094217
41.879	-0.00086524
41.889	-0.00090309
41.899	-0.00089943
41.909	-0.00091164
41.919	-0.00088416
41.929	-0.00091591
41.939	-0.00087501
41.949	-0.00084997
41.959	-0.00077181
41.969	-0.00062649
41.979	-0.00027234
41.989	0.00032235
41.999	0.0011881
42.009	0.0020416
42.019	0.0037401
42.029	0.0058264
42.039	0.0084297
42.049	0.011996
42.059	0.016749
42.069	0.024149
42.079	0.031854
42.089	0.063423
42.099	0.16533
42.109	0.31737
42.119	0.41772
42.129	0.47783
42.139	0.49963
42.149	0.51929
42.159	0.52997
42.169	0.53795
42.179	0.54223
42.189	0.54699
42.199	0.54978
42.209	0.55275
42.219	0.55415
42.229	0.55446
42.239	0.55491
42.249	0.55468
42.259	0.55266
42.269	0.55070
42.279	0.54733
42.289	0.54176
42.299	0.53563
42.309	0.52341
42.319	0.50393
42.329	0.45331
42.339	0.35051
42.349	0.20113
42.359	0.12712
42.369	0.064495
42.379	0.039689
42.389	0.028627
42.399	0.021315
42.409	0.015818
42.419	0.012917
42.429	0.0090872
42.439	0.0061768
42.449	0.0039392
42.459	0.0021753
42.469	0.00078697
42.479	-0.00010504
42.489	-0.00063931
42.499	-0.00082432
42.509	-0.00093484
42.519	-0.00087562
42.529	-0.00090920
42.539	-0.00093728
42.549	-0.00087989
42.559	-0.00092812
42.569	-0.00091042
42.579	-0.00093484
42.589	-0.00094156
42.599	-0.00099529
42.609	-0.00094034
42.619	-0.00089576
42.629	-0.00084325
