 &SRS
 SRSRUN=31397,SRSDAT=20141216,SRSTIM=91918,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_x	i_pin
3.3109	-0.00089088
3.3159	-0.00092324
3.3208	-0.00086585
3.3259	-0.00098430
3.3309	-0.00094278
3.3359	-0.00087684
3.3409	-0.00083775
3.3459	-0.00096965
3.3509	-0.00095866
3.3559	-0.00090920
3.3609	-0.00091042
3.3659	-0.00087440
3.3709	-0.00088783
3.3759	-0.00089882
3.3809	-0.00079990
3.3859	-0.00072174
3.3909	-0.00058619
3.3959	-0.00057276
3.4009	-0.00043476
3.4059	-5.7419e-05
3.4109	0.00025030
3.4159	0.00059282
3.4209	0.0013884
3.4259	0.0022040
3.4309	0.0032987
3.4359	0.0049429
3.4409	0.0063178
3.4459	0.0089389
3.4509	0.011376
3.4559	0.015036
3.4609	0.017929
3.4659	0.021931
3.4709	0.025972
3.4759	0.030368
3.4810	0.035793
3.4859	0.039621
3.4909	0.044220
3.4959	0.046265
3.5009	0.050101
3.5059	0.051783
3.5109	0.053014
3.5159	0.052881
3.5209	0.052330
3.5258	0.050013
3.5309	0.046956
3.5359	0.045001
3.5409	0.041115
3.5459	0.036610
3.5509	0.031877
3.5559	0.027270
3.5609	0.024486
3.5659	0.019995
3.5709	0.016891
3.5759	0.013376
3.5809	0.010585
3.5859	0.0083851
3.5909	0.0064442
3.5959	0.0045381
3.6010	0.0031846
3.6059	0.0022364
3.6109	0.0012626
3.6159	0.00075889
3.6209	0.00031380
3.6258	2.1952e-05
3.6309	-0.00031508
3.6359	-0.00055505
3.6409	-0.00064664
3.6459	-0.00067717
3.6509	-0.00079135
3.6559	-0.00084631
3.6609	-0.00081333
3.6659	-0.00089088
3.6709	-0.0010167
3.6759	-0.00095438
3.6809	-0.0010722
3.6859	-0.0010270
3.6909	-0.00094705
3.6959	-0.00089576
3.7009	-0.00092629
3.7059	-0.00094034
3.7108	-0.00074800
