 &SRS
 SRSRUN=31398,SRSDAT=20141216,SRSTIM=91957,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_y	i_pin
46.042	-0.00088233
46.047	-0.00092812
46.052	-0.00090798
46.057	-0.00093728
46.062	-0.00094705
46.067	-0.00092446
46.072	-0.00092202
46.077	-0.00089699
46.082	-0.00090614
46.087	-0.00090004
46.092	-0.00089332
46.097	-0.00086402
46.102	-0.00082798
46.107	-0.00079379
46.112	-0.00078219
46.117	-0.00080478
46.122	-0.00075105
46.127	-0.00066068
46.132	-0.00061244
46.137	-0.00061916
46.142	-0.00057215
46.147	-0.00046773
46.152	-0.00047872
46.157	-0.00038530
46.162	-0.00033096
46.167	-0.00024609
46.172	-0.00013069
46.177	0.00012453
46.182	0.00022222
46.187	0.00037242
46.192	0.00065082
46.197	0.0010062
46.202	0.0015367
46.207	0.0024263
46.212	0.0038647
46.217	0.0064845
46.222	0.012492
46.227	0.025712
46.232	0.041565
46.237	0.053412
46.242	0.053717
46.247	0.044188
46.252	0.034037
46.257	0.022736
46.262	0.014594
46.267	0.0091110
46.272	0.0055803
46.277	0.0032841
46.282	0.0021619
46.287	0.0015947
46.292	0.0010984
46.297	0.00086146
46.302	0.00064288
46.307	0.00041149
46.312	0.00027106
46.317	0.00015383
46.322	6.5912e-05
46.327	-5.1311e-05
46.332	-0.00014717
46.337	-2.9331e-05
46.342	-0.00032974
46.347	-0.00041827
46.352	-0.00039690
46.357	-0.00045430
46.362	-0.00052146
46.367	-0.00062710
46.372	-0.00068022
46.378	-0.00065885
46.382	-0.00070892
46.387	-0.00077731
46.392	-0.00085302
46.397	-0.00090248
46.402	-0.00090370
46.407	-0.00093973
46.412	-0.00089821
46.417	-0.00090370
46.422	-0.00090737
46.428	-0.00091408
46.432	-0.00087928
46.437	-0.00091713
46.442	-0.00093118
