 &SRS
 SRSRUN=31403,SRSDAT=20141216,SRSTIM=92324,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
sgx	i_pin
3.8256	-0.00090798
3.8556	-0.00095316
3.8856	-0.00091225
3.9155	-0.00097576
3.9456	-0.00090065
3.9756	-0.00089821
4.0056	-0.00093912
4.0356	-0.00090492
4.0656	0.0090244
4.0956	0.052818
4.1256	0.052227
4.1556	0.052621
4.1856	0.052858
4.2156	0.052034
4.2456	0.052860
4.2756	0.052754
4.3056	0.053779
4.3356	0.053501
4.3656	0.052815
4.3956	0.053740
4.4256	0.052719
4.4556	0.053491
4.4857	0.053224
4.5156	-0.00076510
4.5456	-0.00094461
4.5756	-0.00090920
4.6056	-0.00091408
