 &SRS
 SRSRUN=31404,SRSDAT=20141216,SRSTIM=92338,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
sgy	i_pin
0.047700	-0.00091836
0.077700	-0.00093667
0.10770	-0.00096538
0.13770	-0.00087378
0.16770	-0.00096110
0.19770	-0.00087134
0.22770	-0.00079257
0.25770	0.053750
0.28770	0.053994
0.31770	0.054067
0.34770	0.053365
0.37770	0.053492
0.40770	0.053748
0.43770	0.053429
0.46770	0.052018
0.49770	0.053541
0.52770	0.053550
0.55770	0.052616
0.58770	0.053668
0.61770	0.053951
0.64770	0.036671
0.67770	-0.00087073
0.70770	-0.00094766
0.73770	-0.00089088
0.76770	-0.00085669
0.79770	-0.00091591
0.82770	-0.00091286
