 &SRS
 SRSRUN=31399,SRSDAT=20141216,SRSTIM=92025,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_x	i_pin
3.4734	-0.00051597
3.4744	-0.00045064
3.4754	-0.00054894
3.4764	-0.00033951
3.4774	-0.00042132
3.4784	-0.00035660
3.4794	-0.00030654
3.4804	-0.00024731
3.4814	-0.00022533
3.4824	-0.00018808
3.4833	-3.4829e-05
3.4844	-8.7948e-05
3.4854	-3.9101e-05
3.4864	6.8963e-05
3.4874	0.00014956
3.4884	0.00023382
3.4894	0.00023932
3.4904	0.00034616
3.4914	0.00033639
3.4924	0.00056901
3.4934	0.00061724
3.4944	0.00075645
3.4954	0.00072836
3.4964	0.00081384
3.4974	0.0010330
3.4984	0.00094266
3.4993	0.0012266
3.5004	0.0012241
3.5014	0.0014549
3.5024	0.0015312
3.5034	0.0016313
3.5044	0.0017657
3.5054	0.0018951
3.5064	0.0021674
3.5074	0.0022620
3.5084	0.0024501
3.5094	0.0026375
3.5104	0.0028988
3.5114	0.0030276
3.5124	0.0032334
3.5134	0.0036455
3.5144	0.0036992
3.5154	0.0039752
3.5164	0.0042060
3.5174	0.0044465
3.5184	0.0046731
3.5194	0.0048892
3.5204	0.0052030
3.5214	0.0054307
3.5224	0.0057378
3.5234	0.0059784
3.5244	0.0063252
3.5253	0.0064418
3.5264	0.0069913
3.5274	0.0071811
3.5284	0.0073265
3.5294	0.0074968
3.5304	0.0079773
3.5314	0.0083540
3.5324	0.0085316
3.5334	0.0087154
3.5344	0.0092600
3.5354	0.0096819
3.5364	0.0097259
3.5374	0.010639
3.5384	0.010482
3.5394	0.010810
3.5404	0.010656
3.5414	0.011462
3.5424	0.011998
3.5434	0.012293
3.5444	0.012653
3.5454	0.012728
3.5464	0.013484
3.5474	0.013539
3.5484	0.013370
3.5493	0.014652
3.5504	0.014374
3.5514	0.015298
3.5524	0.015074
3.5534	0.016250
3.5544	0.015493
3.5554	0.015888
3.5564	0.016119
3.5574	0.016320
3.5584	0.016612
3.5593	0.016908
3.5604	0.017409
3.5614	0.017654
3.5623	0.017428
3.5634	0.016837
3.5644	0.018269
3.5654	0.018322
3.5664	0.018135
3.5674	0.018085
3.5684	0.018232
3.5694	0.018960
3.5704	0.018902
3.5714	0.019000
3.5724	0.019045
3.5734	0.019183
3.5744	0.018836
3.5754	0.018416
3.5764	0.018852
3.5774	0.018931
3.5784	0.018734
3.5794	0.018440
3.5804	0.018751
3.5814	0.018472
3.5824	0.018754
3.5834	0.018284
3.5844	0.018218
3.5854	0.017737
3.5864	0.018388
3.5874	0.017906
3.5884	0.017546
3.5894	0.017369
3.5904	0.016752
3.5914	0.016800
3.5924	0.016754
3.5934	0.016561
3.5944	0.015525
3.5954	0.016008
3.5964	0.015676
3.5974	0.015700
3.5984	0.015100
3.5994	0.014776
3.6004	0.014424
3.6014	0.014421
3.6023	0.013823
3.6034	0.013586
3.6044	0.013785
3.6054	0.013432
3.6064	0.013398
3.6074	0.012596
3.6084	0.012697
3.6094	0.012157
3.6104	0.011723
3.6114	0.010954
3.6124	0.011557
3.6134	0.010604
3.6144	0.010418
3.6154	0.010081
3.6164	0.0097008
3.6174	0.0091562
3.6184	0.0093443
3.6194	0.0093461
3.6204	0.0087698
3.6214	0.0085384
3.6224	0.0081959
3.6234	0.0080328
3.6244	0.0077862
3.6255	0.0073631
3.6264	0.0070193
3.6274	0.0068826
3.6283	0.0063960
3.6294	0.0063752
3.6304	0.0059430
3.6314	0.0057195
3.6324	0.0056401
3.6334	0.0052567
3.6344	0.0050119
3.6354	0.0048245
3.6364	0.0045888
3.6373	0.0044899
3.6384	0.0041297
3.6394	0.0039673
3.6404	0.0037139
3.6414	0.0033232
3.6424	0.0032371
3.6434	0.0031791
3.6444	0.0028298
3.6454	0.0026369
3.6464	0.0024360
3.6474	0.0023597
3.6484	0.0021534
3.6494	0.0020709
3.6504	0.0018664
3.6514	0.0017901
3.6523	0.0017138
3.6534	0.0014720
3.6544	0.0015160
3.6554	0.0012498
3.6564	0.0010831
3.6574	0.0010129
3.6584	0.0010367
3.6594	0.00085902
3.6603	0.00076805
3.6614	0.00063006
3.6624	0.00060381
3.6634	0.00048475
3.6644	0.00049697
3.6654	0.00048109
3.6664	0.00035105
3.6674	0.00028694
3.6684	0.00012513
3.6694	6.9578e-05
3.6704	2.3173e-05
3.6714	-0.00012153
3.6724	-0.00015206
3.6734	-0.00010627
