 &SRS
 SRSRUN=31400,SRSDAT=20141216,SRSTIM=92158,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_y	i_pin
50.125	-0.00085791
50.126	-0.00074922
50.127	-0.00083531
50.128	-0.00085607
50.129	-0.00074372
50.130	-0.00084508
50.131	-0.00081944
50.132	-0.00067106
50.133	-0.00068450
50.134	-0.00080600
50.135	-0.00075288
50.136	-0.00075288
50.137	-0.00082493
50.138	-0.00076571
50.139	-0.00075655
50.140	-0.00068999
50.141	-0.00071869
50.142	-0.00072846
50.143	-0.00081028
50.144	-0.00067228
50.145	-0.00071502
50.146	-0.00067045
50.147	-0.00058436
50.148	-0.00063259
50.149	-0.00064908
50.150	-0.00067289
50.151	-0.00073701
50.152	-0.00055444
50.153	-0.00066129
50.154	-0.00060939
50.155	-0.00059535
50.156	-0.00061549
50.157	-0.00060084
50.158	-0.00058436
50.159	-0.00058924
50.160	-0.00059351
50.161	-0.00062099
50.162	-0.00051963
50.163	-0.00053612
50.164	-0.00056543
50.165	-0.00050437
50.166	-0.00052696
50.167	-0.00046163
50.168	-0.00053368
50.169	-0.00047140
50.170	-0.00046773
50.171	-0.00047750
50.172	-0.00045003
50.173	-0.00038652
50.174	-0.00033340
50.175	-0.00039324
50.176	-0.00042316
50.177	-0.00045674
50.178	-0.00021739
50.179	-0.00038835
50.180	-0.00030348
50.181	-0.00032913
50.182	-0.00024914
50.183	-0.00015816
50.184	3.4163e-05
50.185	-0.00016854
50.186	-9.1610e-05
50.187	-0.00010504
50.188	-3.0552e-05
50.189	2.8665e-05
50.190	7.9105e-06
50.191	5.4922e-05
50.192	0.00014529
50.193	0.00014834
50.194	0.00018314
50.195	0.00023382
50.196	0.00053543
50.197	0.00057267
50.198	0.00080956
50.199	0.00092801
50.200	0.0012034
50.201	0.0013548
50.202	0.0017168
50.203	0.0023286
50.204	0.0027022
50.205	0.0037872
50.206	0.0036217
50.207	0.0046169
50.208	0.0050131
50.209	0.0065047
50.210	0.0064693
50.211	0.0083296
50.212	0.0093333
50.213	0.010084
50.214	0.011522
50.215	0.012924
50.216	0.014884
50.217	0.015419
50.218	0.017428
50.219	0.017427
50.220	0.019004
50.221	0.018648
50.222	0.019788
50.223	0.019631
50.224	0.019304
50.225	0.018883
50.226	0.018426
50.227	0.017089
50.228	0.016110
50.229	0.014937
50.230	0.014410
50.231	0.013379
50.232	0.011967
50.233	0.011106
50.234	0.010074
50.235	0.0094035
50.236	0.0090616
50.237	0.0083094
50.238	0.0080921
50.239	0.0070835
50.240	0.0066756
50.241	0.0057970
50.242	0.0058074
50.243	0.0054588
50.244	0.0050614
50.245	0.0044453
50.246	0.0041248
50.247	0.0036828
50.248	0.0031223
50.249	0.0032682
50.250	0.0028469
50.251	0.0025722
50.252	0.0019800
50.253	0.0017785
50.254	0.0015282
50.255	0.0015367
50.256	0.0010208
50.257	0.0010165
50.258	0.00079674
50.259	0.00070272
50.260	0.00038890
50.261	0.00039256
50.262	0.00025458
50.263	0.00028816
50.264	0.00020146
50.265	8.7892e-05
50.266	0.00011048
50.267	6.2860e-05
50.268	-1.8341e-05
50.269	8.7282e-05
50.270	-4.2152e-05
50.271	-3.5434e-05
50.272	-0.00010688
50.273	-7.5127e-05
50.274	-0.00014595
50.275	-0.00024120
50.276	-0.00020640
50.277	-0.00023754
50.278	-0.00025952
50.279	-0.00028883
50.280	-0.00032424
50.281	-0.00029860
50.282	-0.00030959
50.283	-0.00041949
50.284	-0.00045674
50.285	-0.00039446
50.286	-0.00037126
50.287	-0.00041889
50.288	-0.00041034
50.289	-0.00043781
50.290	-0.00046285
50.291	-0.00046102
50.292	-0.00047872
50.293	-0.00048239
50.294	-0.00049521
50.295	-0.00054650
50.296	-0.00053307
50.297	-0.00051719
50.298	-0.00050132
50.299	-0.00058497
50.300	-0.00049948
50.301	-0.00057825
50.302	-0.00058924
50.303	-0.00058558
50.304	-0.00068083
50.305	-0.00062038
50.306	-0.00069793
50.307	-0.00064664
50.308	-0.00062893
50.309	-0.00061305
50.310	-0.00061000
50.311	-0.00070159
50.312	-0.00056482
50.313	-0.00064725
50.314	-0.00065213
50.315	-0.00067228
50.316	-0.00061855
50.317	-0.00057581
50.318	-0.00065946
50.319	-0.00073273
50.320	-0.00068755
50.321	-0.00069732
50.322	-0.00065030
50.323	-0.00069854
50.324	-0.00076143
50.325	-0.00073517
