 &SRS
 SRSRUN=31393,SRSDAT=20141216,SRSTIM=91529,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
vfm_fine_pitch	i0
0.0099646	-0.00045551
0.010188	-0.00050837
0.010375	-0.00047842
0.010577	-0.00035995
0.010771	-0.00038409
0.010980	-0.00046378
0.011169	-0.00042102
0.011395	-0.00021157
0.011567	-0.00036761
0.011764	-0.00023018
0.011987	-0.00017063
0.012178	-0.00029370
0.012362	-0.00016423
0.012579	1.8679e-05
0.012759	-6.9576e-05
0.012962	0.00010784
0.013172	4.8293e-05
0.013358	0.00017867
0.013553	0.00039455
0.013767	0.00039427
0.013969	0.00051763
0.014180	0.00055885
0.014359	0.00091457
0.014576	0.0010495
0.014736	0.0013928
0.014977	0.0018343
0.015149	0.0020133
0.015358	0.0026536
0.015557	0.0034423
0.015752	0.0051334
0.015978	0.0070034
0.016130	0.0088987
0.016362	0.010699
0.016545	0.012678
0.016780	0.014603
0.016951	0.017230
0.017164	0.019344
0.017378	0.022099
0.017556	0.024671
0.017753	0.027817
0.017963	0.030185
0.018144	0.031726
0.018345	0.032435
0.018533	0.032524
0.018711	0.031863
0.018962	0.031178
0.019146	0.030271
0.019360	0.029220
0.019549	0.027743
0.019731	0.026351
0.019947	0.024223
0.020165	0.021901
0.020353	0.019426
0.020540	0.017973
0.020743	0.016316
0.020926	0.015054
0.021135	0.014337
0.021355	0.013726
0.021522	0.012783
0.021752	0.011787
0.021938	0.010641
0.022151	0.0096756
0.022328	0.0087589
0.022545	0.0077384
0.022727	0.0069915
0.022929	0.0059227
0.023147	0.0048546
0.023318	0.0038307
0.023524	0.0030295
0.023712	0.0022444
0.023911	0.0019540
0.024126	0.0014667
0.024330	0.0012630
0.024527	0.00095610
0.024737	0.0010547
0.024914	0.00063029
0.025130	0.00068831
0.025316	0.00050142
0.025527	0.00044492
0.025713	0.00052004
0.025913	0.00039823
0.026126	0.00032219
0.026321	0.00030908
0.026510	0.00015822
0.026704	0.00023852
0.026920	0.00023396
0.027119	0.00025808
0.027312	0.00016645
0.027502	0.00027819
0.027712	0.00028067
0.027922	0.00028341
0.028139	0.00014786
0.028319	0.00011242
0.028502	2.8744e-05
0.028718	0.00026722
0.028901	7.6995e-05
0.029089	0.00010354
0.029282	8.9499e-05
0.029508	0.00015973
0.029708	0.00010111
0.029903	0.00012676
