 &SRS
 SRSRUN=13765,SRSDAT=2013520,SRSTIM=42935,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_y	i_pin	Time
49.900	-0.00080112	  0.00
49.901	-0.00073578	  0.00
49.902	-0.00076631	  0.00
49.903	-0.00080845	  0.00
49.904	-0.00077303	  0.00
49.905	-0.00075959	  0.00
49.906	-0.00075532	  0.00
49.907	-0.00077730	  0.00
49.908	-0.00070892	  0.00
49.909	-0.00074128	  0.00
49.910	-0.00072968	  0.00
49.911	-0.00072601	  0.00
49.912	-0.00069304	  0.00
49.913	-0.00071014	  0.00
49.914	-0.00071258	  0.00
49.915	-0.00068815	  0.00
49.916	-0.00067899	  0.00
49.917	-0.00066983	  0.00
49.918	-0.00068938	  0.00
49.919	-0.00063686	  0.00
49.920	-0.00064908	  0.00
49.921	-0.00064663	  0.00
49.922	-0.00060878	  0.00
49.923	-0.00066007	  0.00
49.924	-0.00061061	  0.00
49.925	-0.00060939	  0.00
49.926	-0.00058679	  0.00
49.927	-0.00060695	  0.00
49.928	-0.00056359	  0.00
49.929	-0.00055504	  0.00
49.930	-0.00054283	  0.00
49.931	-0.00054588	  0.00
49.932	-0.00047566	  0.00
49.933	-0.00049521	  0.00
49.934	-0.00047444	  0.00
49.935	-0.00045856	  0.00
49.936	-0.00045490	  0.00
49.937	-0.00042926	  0.00
49.938	-0.00038468	  0.00
49.939	-0.00042804	  0.00
49.940	-0.00040239	  0.00
49.941	-0.00040667	  0.00
49.942	-0.00039507	  0.00
49.943	-0.00038041	  0.00
49.944	-0.00037492	  0.00
49.945	-0.00032790	  0.00
49.946	-0.00032851	  0.00
49.947	-0.00033522	  0.00
49.948	-0.00031080	  0.00
49.949	-0.00031263	  0.00
49.950	-0.00032057	  0.00
49.951	-0.00028821	  0.00
49.952	-0.00026318	  0.00
49.953	-0.00027905	  0.00
49.954	-0.00023387	  0.00
49.955	-0.00022654	  0.00
49.956	-0.00020334	  0.00
49.957	-0.00019479	  0.00
49.958	-0.00016487	  0.00
49.959	-0.00016976	  0.00
49.960	-0.00011664	  0.00
49.961	-0.00013007	  0.00
49.962	-8.4277e-05	  0.00
49.963	-7.8169e-05	  0.00
49.964	-4.7030e-05	  0.00
49.965	-2.5050e-05	  0.00
49.966	3.0510e-05	  0.00
49.967	7.9152e-06	  0.00
49.968	4.3331e-05	  0.00
49.969	6.4701e-05	  0.00
49.970	9.4009e-05	  0.00
49.971	0.00013552	  0.00
49.972	0.00012453	  0.00
49.973	0.00019719	  0.00
49.974	0.00017643	  0.00
49.975	0.00025275	  0.00
49.976	0.00025519	  0.00
49.977	0.00034433	  0.00
49.978	0.00033517	  0.00
49.979	0.00036387	  0.00
49.980	0.00042431	  0.00
49.981	0.00056230	  0.00
49.982	0.00050674	  0.00
49.983	0.00063617	  0.00
49.984	0.00065388	  0.00
49.985	0.00075706	  0.00
49.986	0.00073447	  0.00
49.987	0.00085230	  0.00
49.988	0.00090969	  0.00
49.989	0.0010208	  0.00
49.990	0.0011435	  0.00
49.991	0.0012186	  0.00
49.992	0.0012907	  0.00
49.993	0.0014097	  0.00
49.994	0.0015349	  0.00
49.995	0.0017071	  0.00
49.996	0.0018194	  0.00
49.997	0.0019653	  0.00
49.998	0.0021057	  0.00
49.999	0.0022920	  0.00
50.000	0.0025160	  0.00
50.001	0.0027694	  0.00
50.002	0.0031888	  0.00
50.003	0.0031711	  0.00
50.004	0.0037005	  0.00
50.005	0.0038256	  0.00
50.006	0.0046688	  0.00
50.007	0.0047652	  0.00
50.008	0.0062281	  0.00
50.009	0.0070413	  0.00
50.010	0.0088094	  0.00
50.011	0.0089944	  0.00
50.012	0.012267	  0.00
50.013	0.012840	  0.00
50.014	0.016724	  0.00
50.015	0.016226	  0.00
50.016	0.020110	  0.00
50.017	0.020141	  0.00
50.018	0.026596	  0.00
50.019	0.026535	  0.00
50.020	0.031714	  0.00
50.021	0.032714	  0.00
50.022	0.041024	  0.00
50.023	0.042672	  0.00
50.024	0.050013	  0.00
50.025	0.051108	  0.00
50.026	0.058885	  0.00
50.027	0.059698	  0.00
50.028	0.068738	  0.00
50.029	0.070117	  0.00
50.030	0.076206	  0.00
50.031	0.077378	  0.00
50.032	0.075458	  0.00
50.033	0.074092	  0.00
50.034	0.074389	  0.00
50.035	0.065826	  0.00
50.036	0.060259	  0.00
50.037	0.055251	  0.00
50.038	0.051568	  0.00
50.039	0.037063	  0.00
50.040	0.035509	  0.00
50.041	0.027775	  0.00
50.042	0.026587	  0.00
50.043	0.020372	  0.00
50.044	0.019836	  0.00
50.045	0.015690	  0.00
50.046	0.015683	  0.00
50.047	0.011822	  0.00
50.048	0.011523	  0.00
50.049	0.0083778	  0.00
50.050	0.0086293	  0.00
50.051	0.0062000	  0.00
50.052	0.0062666	  0.00
50.053	0.0051651	  0.00
50.054	0.0051792	  0.00
50.055	0.0043641	  0.00
50.056	0.0044056	  0.00
50.057	0.0037322	  0.00
50.058	0.0036663	  0.00
50.059	0.0031040	  0.00
50.060	0.0031058	  0.00
50.061	0.0026204	  0.00
50.062	0.0025917	  0.00
50.063	0.0021698	  0.00
50.064	0.0021778	  0.00
50.065	0.0018963	  0.00
50.066	0.0018621	  0.00
50.067	0.0016478	  0.00
50.068	0.0015801	  0.00
50.069	0.0014665	  0.00
50.070	0.0014079	  0.00
50.071	0.0012821	  0.00
50.072	0.0012461	  0.00
50.073	0.0011002	  0.00
50.074	0.0011063	  0.00
50.075	0.0010104	  0.00
50.076	0.00099273	  0.00
50.077	0.00090603	  0.00
50.078	0.00088832	  0.00
50.079	0.00080224	  0.00
50.080	0.00078759	  0.00
50.081	0.00073081	  0.00
50.082	0.00073813	  0.00
50.083	0.00061053	  0.00
50.084	0.00060504	  0.00
50.085	0.00053238	  0.00
50.086	0.00051406	  0.00
50.087	0.00050002	  0.00
50.088	0.00044751	  0.00
50.089	0.00042431	  0.00
50.090	0.00036937	  0.00
50.091	0.00038829	  0.00
50.092	0.00026435	  0.00
50.093	0.00028633	  0.00
50.094	0.00021673	  0.00
50.095	0.00024726	  0.00
50.096	0.00017094	  0.00
50.097	0.00018315	  0.00
50.098	0.00011537	  0.00
50.099	0.00010133	  0.00
50.100	2.9285e-05	  0.00
