 &SRS
 SRSRUN=13778,SRSDAT=2013520,SRSTIM=5242,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gony	i_pin	Time
-0.19990	1.3755	  0.00
-0.19000	1.3758	  0.00
-0.18000	1.3754	  0.00
-0.17000	1.3753	  0.00
-0.16000	1.3756	  0.00
-0.15000	1.3753	  0.00
-0.14000	1.3754	  0.00
-0.13000	1.3753	  0.00
-0.12030	1.3749	  0.00
-0.10990	1.3751	  0.00
-0.099900	1.3748	  0.00
-0.090000	1.3750	  0.00
-0.080000	1.3748	  0.00
-0.069900	1.3752	  0.00
-0.060000	1.3750	  0.00
-0.050100	1.3748	  0.00
-0.040000	1.3742	  0.00
-0.030000	1.3730	  0.00
-0.020000	1.3711	  0.00
-0.0099000	1.3682	  0.00
0.0000	1.3645	  0.00
0.010100	1.3598	  0.00
0.020000	1.3541	  0.00
0.030000	1.3473	  0.00
0.040000	1.3388	  0.00
0.049800	1.3268	  0.00
0.059900	1.3115	  0.00
0.070000	1.2864	  0.00
0.080100	1.2404	  0.00
0.090000	1.0299	  0.00
0.099900	0.50319	  0.00
0.11000	0.19059	  0.00
0.12000	0.10926	  0.00
0.13000	0.079187	  0.00
0.14000	0.060171	  0.00
0.15000	0.044871	  0.00
0.16000	0.033719	  0.00
0.17000	0.025422	  0.00
0.18010	0.018270	  0.00
0.19000	0.012148	  0.00
0.20000	0.0079260	  0.00
0.20990	0.0045381	  0.00
0.22000	0.0020215	  0.00
0.23010	0.00049392	  0.00
0.23990	-0.00022959	  0.00
0.25000	-0.00046467	  0.00
0.26010	-0.00050253	  0.00
0.27000	-0.00052879	  0.00
0.28020	-0.00057580	  0.00
0.28990	-0.00062648	  0.00
0.30010	-0.00063076	  0.00
