 &SRS
 SRSRUN=14753,SRSDAT=201364,SRSTIM=111713,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_x	i_pin	Time
3.3800	-0.00087805	  0.00
3.3820	-0.00095987	  0.00
3.3840	-0.00085851	  0.00
3.3860	-0.00088233	  0.00
3.3880	-0.00087195	  0.00
3.3900	-0.00086889	  0.00
3.3920	-0.00086523	  0.00
3.3940	-0.00077730	  0.00
3.3960	-0.00076692	  0.00
3.3980	-0.00068022	  0.00
3.4000	-0.00058374	  0.00
3.4020	-0.00044147	  0.00
3.4041	-0.00024730	  0.00
3.4059	-1.1619e-05	  0.00
3.4080	0.00022710	  0.00
3.4100	0.00073264	  0.00
3.4120	0.0012369	  0.00
3.4140	0.0017412	  0.00
3.4160	0.0025148	  0.00
3.4180	0.0035301	  0.00
3.4200	0.0046962	  0.00
3.4220	0.0057842	  0.00
3.4240	0.0072398	  0.00
3.4260	0.0084040	  0.00
3.4280	0.010347	  0.00
3.4300	0.012140	  0.00
3.4320	0.014047	  0.00
3.4340	0.016466	  0.00
3.4360	0.019879	  0.00
3.4380	0.022791	  0.00
3.4400	0.026418	  0.00
3.4420	0.029255	  0.00
3.4440	0.032951	  0.00
3.4459	0.037146	  0.00
3.4480	0.041550	  0.00
3.4500	0.045651	  0.00
3.4520	0.050048	  0.00
3.4540	0.053979	  0.00
3.4560	0.058328	  0.00
3.4579	0.063211	  0.00
3.4600	0.066585	  0.00
3.4620	0.071909	  0.00
3.4640	0.075578	  0.00
3.4660	0.077339	  0.00
3.4680	0.082378	  0.00
3.4700	0.084024	  0.00
3.4720	0.086147	  0.00
3.4740	0.087805	  0.00
3.4760	0.091871	  0.00
3.4780	0.093880	  0.00
3.4800	0.091866	  0.00
3.4820	0.095536	  0.00
3.4840	0.096712	  0.00
3.4860	0.097939	  0.00
3.4880	0.097836	  0.00
3.4900	0.098178	  0.00
3.4920	0.097762	  0.00
3.4940	0.093807	  0.00
3.4960	0.093252	  0.00
3.4980	0.089418	  0.00
3.5000	0.087227	  0.00
3.5020	0.084148	  0.00
3.5040	0.081320	  0.00
3.5060	0.080230	  0.00
3.5080	0.073403	  0.00
3.5100	0.070328	  0.00
3.5120	0.066430	  0.00
3.5140	0.061388	  0.00
3.5160	0.057774	  0.00
3.5180	0.053036	  0.00
3.5200	0.048303	  0.00
3.5220	0.043454	  0.00
3.5240	0.039476	  0.00
3.5260	0.035453	  0.00
3.5280	0.031430	  0.00
3.5300	0.028269	  0.00
3.5320	0.024184	  0.00
3.5340	0.020802	  0.00
3.5360	0.018247	  0.00
3.5380	0.014951	  0.00
3.5400	0.012494	  0.00
3.5420	0.010475	  0.00
3.5439	0.0081855	  0.00
3.5460	0.0066396	  0.00
3.5480	0.0052140	  0.00
3.5500	0.0037377	  0.00
3.5520	0.0025765	  0.00
3.5540	0.0017351	  0.00
3.5560	0.00098540	  0.00
3.5580	0.00045850	  0.00
3.5600	5.3711e-05	  0.00
3.5620	-0.00026745	  0.00
3.5640	-0.00055016	  0.00
3.5660	-0.00066983	  0.00
3.5680	-0.00076753	  0.00
3.5700	-0.00075776	  0.00
3.5720	-0.00086340	  0.00
3.5740	-0.00086523	  0.00
3.5760	-0.00085912	  0.00
3.5780	-0.00088416	  0.00
3.5800	-0.00090431	  0.00
