 &SRS
 SRSRUN=14767,SRSDAT=201364,SRSTIM=108,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gonx	i_pin	Time
2.4509	-0.00094827	  0.00
2.4532	-0.00099774	  0.00
2.4548	-0.00060450	  0.00
2.4570	-0.00057580	  0.00
2.4590	-0.00054344	  0.00
2.4609	-0.00045979	  0.00
2.4630	-0.00037980	  0.00
2.4651	-0.00027539	  0.00
2.4670	-0.00025463	  0.00
2.4690	-0.00018624	  0.00
2.4710	-7.6338e-05	  0.00
2.4730	0.00014590	  0.00
2.4750	0.00025702	  0.00
2.4770	0.00037181	  0.00
2.4790	0.00050002	  0.00
2.4812	0.00066853	  0.00
2.4830	0.00083582	  0.00
2.4851	0.0010074	  0.00
2.4870	0.0011631	  0.00
2.4890	0.0014372	  0.00
2.4910	0.0016668	  0.00
2.4930	0.0018615	  0.00
2.4951	0.0022156	  0.00
2.4971	0.0026491	  0.00
2.4990	0.0030106	  0.00
2.5010	0.0033506	  0.00
2.5029	0.0036669	  0.00
2.5050	0.0040137	  0.00
2.5070	0.0045509	  0.00
2.5090	0.0049014	  0.00
2.5111	0.0052793	  0.00
2.5129	0.0057867	  0.00
2.5150	0.0063417	  0.00
2.5170	0.0069400	  0.00
2.5190	0.0073893	  0.00
2.5210	0.0078613	  0.00
2.5231	0.0083937	  0.00
2.5249	0.0087160	  0.00
2.5270	0.0093882	  0.00
2.5290	0.0097924	  0.00
2.5309	0.010405	  0.00
2.5329	0.010570	  0.00
2.5351	0.011234	  0.00
2.5369	0.011758	  0.00
2.5390	0.012036	  0.00
2.5409	0.012028	  0.00
2.5430	0.012587	  0.00
2.5450	0.013191	  0.00
2.5470	0.013613	  0.00
2.5490	0.013800	  0.00
2.5510	0.013854	  0.00
2.5529	0.013931	  0.00
2.5550	0.014056	  0.00
2.5570	0.014169	  0.00
2.5590	0.014161	  0.00
2.5610	0.014005	  0.00
2.5630	0.014199	  0.00
2.5648	0.014083	  0.00
2.5670	0.013805	  0.00
2.5690	0.013327	  0.00
2.5710	0.012981	  0.00
2.5730	0.012947	  0.00
2.5751	0.012562	  0.00
2.5770	0.012327	  0.00
2.5790	0.011791	  0.00
2.5810	0.011408	  0.00
2.5831	0.010957	  0.00
2.5849	0.010396	  0.00
2.5870	0.010097	  0.00
2.5890	0.0096801	  0.00
2.5910	0.0091971	  0.00
2.5930	0.0086709	  0.00
2.5950	0.0080328	  0.00
2.5970	0.0074064	  0.00
2.5990	0.0070377	  0.00
2.6011	0.0063899	  0.00
2.6029	0.0059955	  0.00
2.6050	0.0055559	  0.00
2.6069	0.0053538	  0.00
2.6090	0.0048703	  0.00
2.6110	0.0044392	  0.00
2.6131	0.0040466	  0.00
2.6150	0.0036351	  0.00
2.6170	0.0032438	  0.00
2.6190	0.0028909	  0.00
2.6210	0.0023670	  0.00
2.6231	0.0019983	  0.00
2.6251	0.0017254	  0.00
2.6271	0.0014494	  0.00
2.6290	0.0010587	  0.00
2.6310	0.00092862	  0.00
2.6330	0.00071127	  0.00
2.6350	0.00042981	  0.00
2.6370	0.00030037	  0.00
2.6390	0.00013186	  0.00
2.6411	-3.3599e-05	  0.00
2.6430	-0.00016548	  0.00
2.6449	-0.00028943	  0.00
2.6471	-0.00036331	  0.00
2.6490	-0.00046650	  0.00
2.6510	-0.00052757	  0.00
