 &SRS
 SRSRUN=14740,SRSDAT=201364,SRSTIM=91432,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_x	i_pin
3.4469	-0.00050375
3.4490	-0.00069365
3.4510	-0.00062099
3.4530	-0.00055993
3.4549	-0.00046528
3.4570	-0.00040850
3.4590	-0.00031019
3.4610	-0.00024242
3.4630	5.4931e-05
3.4650	0.00018193
3.4670	0.00038829
3.4690	0.00062702
3.4710	0.00091458
3.4730	0.0012028
3.4750	0.0016362
3.4770	0.0020404
3.4790	0.0024934
3.4810	0.0032798
3.4830	0.0036931
3.4850	0.0043348
3.4870	0.0047518
3.4890	0.0056591
3.4910	0.0063368
3.4930	0.0072996
3.4950	0.0084956
3.4970	0.0095580
3.4990	0.010575
3.5010	0.011743
3.5030	0.013166
3.5050	0.014413
3.5070	0.016000
3.5090	0.017858
3.5110	0.019584
3.5130	0.021573
3.5150	0.023678
3.5170	0.025361
3.5190	0.027746
3.5210	0.029238
3.5230	0.031493
3.5250	0.034319
3.5270	0.036737
3.5290	0.038187
3.5310	0.040965
3.5330	0.042832
3.5350	0.045365
3.5370	0.048670
3.5389	0.050248
3.5410	0.052361
3.5430	0.054589
3.5450	0.056923
3.5470	0.057983
3.5490	0.061323
3.5510	0.063225
3.5530	0.063357
3.5550	0.065984
3.5570	0.068195
3.5590	0.067063
3.5610	0.068771
3.5630	0.069104
3.5650	0.068789
3.5670	0.069135
3.5690	0.069138
3.5710	0.067921
3.5730	0.067707
3.5750	0.067300
3.5770	0.066880
3.5790	0.065436
3.5810	0.064880
3.5830	0.064243
3.5850	0.061476
3.5870	0.060580
3.5890	0.058298
3.5910	0.056441
3.5930	0.053073
3.5951	0.050416
3.5970	0.049773
3.5990	0.046390
3.6010	0.044448
3.6030	0.042473
3.6050	0.039198
3.6070	0.038425
3.6090	0.035906
3.6110	0.033618
3.6130	0.031757
3.6150	0.029892
3.6170	0.027715
3.6190	0.025622
3.6210	0.023997
3.6230	0.022632
3.6250	0.020212
3.6270	0.019294
3.6290	0.017250
3.6310	0.016060
3.6330	0.014266
3.6350	0.013037
3.6370	0.011452
3.6390	0.010117
3.6410	0.0087978
3.6430	0.0076323
3.6450	0.0064174
3.6470	0.0054551
3.6490	0.0046047
3.6510	0.0037627
3.6530	0.0031034
3.6550	0.0024440
3.6570	0.0018786
3.6590	0.0013774
3.6610	0.00099334
3.6630	0.00064778
3.6650	0.00042431
3.6669	0.00024115
3.6690	3.1120e-05
3.6710	-0.00015693
3.6730	-0.00023998
3.6750	-0.00036331
3.6770	-0.00051169
3.6790	-0.00057031
3.6810	-0.00065457
3.6830	-0.00070098
3.6850	-0.00079623
3.6870	-0.00079013
