 &SRS
 SRSRUN=14741,SRSDAT=201364,SRSTIM=91525,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_y	i_pin
49.921	-0.00065884
49.923	-0.00079013
49.925	-0.00076326
49.927	-0.00075288
49.929	-0.00074189
49.931	-0.00069670
49.933	-0.00073578
49.935	-0.00069609
49.937	-0.00069365
49.939	-0.00062893
49.941	-0.00066312
49.943	-0.00060450
49.945	-0.00058557
49.947	-0.00058313
49.949	-0.00053062
49.951	-0.00051291
49.953	-0.00049215
49.955	-0.00046650
49.957	-0.00042498
49.959	-0.00040728
49.961	-0.00040423
49.963	-0.00037492
49.965	-0.00034622
49.967	-0.00030836
49.969	-0.00026928
49.971	-0.00026379
49.973	-0.00019235
49.975	-0.00017952
49.977	-0.00014839
49.979	-0.00011908
49.981	-2.7491e-05
49.983	2.6844e-05
49.985	6.8977e-05
49.987	0.00012026
49.989	0.00010011
49.991	0.00026741
49.993	0.00037852
49.995	0.00043347
49.997	0.00052017
49.999	0.00062519
50.001	0.00083338
50.003	0.00090359
50.005	0.0012376
50.007	0.0013114
50.009	0.0016173
50.011	0.0017498
50.013	0.0021027
50.015	0.0024196
50.017	0.0029996
50.019	0.0033122
50.021	0.0048422
50.023	0.0069601
50.025	0.0099817
50.027	0.012286
50.029	0.019891
50.031	0.022221
50.033	0.030639
50.035	0.035141
50.037	0.048421
50.039	0.052304
50.041	0.067645
50.043	0.070554
50.045	0.072888
50.047	0.061189
50.049	0.053691
50.051	0.034699
50.053	0.028997
50.055	0.018313
50.057	0.015572
50.059	0.010706
50.061	0.0091831
50.063	0.0059906
50.065	0.0053849
50.067	0.0041077
50.069	0.0037835
50.071	0.0028744
50.073	0.0026821
50.075	0.0021924
50.077	0.0020679
50.079	0.0016808
50.081	0.0015953
50.083	0.0013737
50.085	0.0012571
50.087	0.0010672
50.089	0.00084742
50.091	0.00081262
50.093	0.00067220
50.095	0.00053665
50.097	0.00051895
50.099	0.00039928
50.101	0.00036997
50.103	0.00027046
50.105	0.00023321
50.107	0.00015689
50.109	0.00011110
50.111	3.1116e-05
50.113	2.0130e-05
50.115	-5.1302e-05
50.117	-5.6799e-05
50.119	-0.00010992
50.121	-0.00017464
50.123	-0.00019235
50.125	-0.00021555
50.127	-0.00023020
50.129	-0.00025158
50.131	-0.00026990
50.133	-0.00030103
50.135	-0.00034377
50.137	-0.00039934
50.139	-0.00040850
50.141	-0.00041583
50.143	-0.00047078
50.145	-0.00045246
50.147	-0.00048665
50.149	-0.00051474
50.151	-0.00050498
50.153	-0.00055443
50.155	-0.00054710
50.157	-0.00058557
50.159	-0.00060633
50.161	-0.00063259
