 &SRS
 SRSRUN=13240,SRSDAT=2013430,SRSTIM=9327,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_x	i_pin
3.4393	-0.00065213
3.4413	-0.00068632
3.4433	-0.00064602
3.4453	-0.00061977
3.4473	-0.00046650
3.4493	-0.00041705
3.4513	-0.00029737
3.4533	-0.00022715
3.4553	-2.5050e-05
3.4573	0.00015140
3.4593	0.00030526
3.4613	0.00056779
3.4633	0.00080956
3.4653	0.0011368
3.4673	0.0014812
3.4693	0.0019372
3.4713	0.0023304
3.4733	0.0029580
3.4753	0.0035063
3.4773	0.0041578
3.4793	0.0048471
3.4813	0.0054564
3.4833	0.0062128
3.4853	0.0073649
3.4873	0.0080621
3.4893	0.0091709
3.4913	0.010524
3.4932	0.011688
3.4953	0.013087
3.4973	0.014229
3.4993	0.016122
3.5013	0.017863
3.5033	0.019262
3.5053	0.021219
3.5073	0.022625
3.5093	0.024126
3.5113	0.026647
3.5133	0.028892
3.5153	0.031490
3.5172	0.033370
3.5193	0.035799
3.5213	0.038098
3.5233	0.039794
3.5253	0.042236
3.5272	0.043502
3.5293	0.046712
3.5313	0.049330
3.5333	0.052131
3.5353	0.053476
3.5373	0.055145
3.5393	0.056080
3.5413	0.057472
3.5433	0.060261
3.5453	0.059547
3.5473	0.061658
3.5493	0.064180
3.5514	0.063238
3.5533	0.064146
3.5553	0.064160
3.5573	0.063865
3.5593	0.065356
3.5613	0.063962
3.5633	0.063928
3.5653	0.063191
3.5673	0.060720
3.5693	0.061799
3.5713	0.061282
3.5733	0.059142
3.5753	0.058283
3.5773	0.056541
3.5793	0.053065
3.5813	0.052302
3.5833	0.050518
3.5853	0.049593
3.5873	0.046626
3.5893	0.044487
3.5913	0.042294
3.5933	0.040121
3.5953	0.037612
3.5972	0.035778
3.5993	0.033692
3.6013	0.030946
3.6033	0.029237
3.6053	0.026934
3.6073	0.024986
3.6093	0.023960
3.6113	0.022092
3.6133	0.020372
3.6153	0.018511
3.6173	0.017323
3.6193	0.015745
3.6213	0.014170
3.6233	0.013202
3.6253	0.012109
3.6273	0.010780
3.6293	0.0097729
3.6313	0.0087655
3.6333	0.0073790
3.6353	0.0064973
3.6373	0.0058636
3.6393	0.0048672
3.6412	0.0040143
3.6433	0.0034721
3.6453	0.0028292
3.6473	0.0022022
3.6493	0.0017571
3.6513	0.0012583
3.6533	0.00099456
3.6553	0.00062763
3.6573	0.00037425
3.6593	0.00023199
3.6613	6.6946e-06
3.6633	-0.00016792
3.6653	-0.00025890
3.6673	-0.00035171
3.6693	-0.00047322
3.6713	-0.00054283
3.6733	-0.00057153
3.6753	-0.00069182
3.6773	-0.00071319
3.6793	-0.00076448
