 &SRS
 SRSRUN=13241,SRSDAT=2013430,SRSTIM=9420,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_y	i_pin
49.917	-0.00051536
49.919	-0.00082371
49.921	-0.00081028
49.923	-0.00076387
49.925	-0.00079013
49.927	-0.00075532
49.929	-0.00074983
49.931	-0.00072479
49.933	-0.00075105
49.935	-0.00070281
49.937	-0.00070464
49.939	-0.00064846
49.941	-0.00062954
49.943	-0.00062954
49.945	-0.00061122
49.947	-0.00059351
49.949	-0.00056603
49.951	-0.00056603
49.953	-0.00055443
49.955	-0.00050314
49.957	-0.00047566
49.959	-0.00046894
49.961	-0.00043109
49.963	-0.00041277
49.965	-0.00038896
49.967	-0.00036942
49.969	-0.00036697
49.971	-0.00031752
49.973	-0.00028089
49.975	-0.00017647
49.977	-0.00017342
49.979	-0.00010870
49.981	-7.5728e-05
49.983	-4.9010e-06
49.985	2.4403e-05
49.987	0.00011721
49.989	0.00013491
49.991	0.00025519
49.993	0.00029060
49.995	0.00043652
49.997	0.00049636
49.999	0.00073325
50.001	0.00079674
50.003	0.0010672
50.005	0.0012601
50.007	0.0014641
50.009	0.0017364
50.011	0.0021161
50.013	0.0028885
50.015	0.0032792
50.017	0.0050284
50.019	0.0056926
50.021	0.0098620
50.023	0.015809
50.025	0.018841
50.027	0.026559
50.029	0.029863
50.031	0.039368
50.033	0.044593
50.035	0.056132
50.037	0.061388
50.039	0.066612
50.041	0.064121
50.043	0.051159
50.045	0.046607
50.047	0.028087
50.049	0.019341
50.051	0.015632
50.053	0.010247
50.055	0.0091489
50.057	0.0064955
50.059	0.0055400
50.061	0.0040680
50.063	0.0036473
50.065	0.0027792
50.067	0.0025716
50.069	0.0020905
50.071	0.0018853
50.073	0.0015092
50.075	0.0014445
50.077	0.0011588
50.079	0.0010806
50.081	0.00087672
50.083	0.00081811
50.085	0.00068685
50.087	0.00067830
50.089	0.00057512
50.091	0.00045057
50.093	0.00039379
50.095	0.00030526
50.097	0.00030343
50.099	0.00026374
50.101	0.00019230
50.103	9.0342e-05
50.105	4.5772e-05
50.107	4.3941e-05
50.109	-2.6271e-05
50.111	-4.0312e-05
50.113	-5.8020e-05
50.115	-0.00013801
50.117	-0.00015816
50.119	-0.00019906
50.121	-0.00021005
50.123	-0.00021066
50.125	-0.00022959
50.127	-0.00026501
50.129	-0.00027722
50.131	-0.00031324
50.133	-0.00033583
50.135	-0.00037247
50.137	-0.00038469
50.139	-0.00044147
50.141	-0.00045429
50.143	-0.00052085
50.145	-0.00051597
50.147	-0.00056420
50.149	-0.00051780
50.151	-0.00057031
50.153	-0.00061061
50.155	-0.00064663
50.157	-0.00066495
